INSTNM,CITY,STABBR,ZIP,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL,COSTT4_A,RET_FT4,DEBT_MDN,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,AccredAgency
Alabama A & M University,Normal,AL,35762,1,34.7834,-86.5685,0.8989,823,18888,0.6314,19500,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,Southern Association of Colleges and Schools Commission on Colleges
University of Alabama at Birmingham,Birmingham,AL,35294-0110,1,33.5022,-86.8092,0.8673,1146,19990,0.8016,16250,11200,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,Southern Association of Colleges and Schools Commission on Colleges
Amridge University,Montgomery,AL,36117-3553,2,32.3626,-86.174,NULL,NULL,12300,0.375,10500,322,0.2919,0.4224,0.0093,0.0031,0.0031,0.0031,Southern Association of Colleges and Schools Commission on Colleges
University of Alabama in Huntsville,Huntsville,AL,35899,1,34.7228,-86.6384,0.8062,1180,20306,0.8098,16500,5525,0.7012,0.131,0.0338,0.0364,0.0145,0.0002,Southern Association of Colleges and Schools Commission on Colleges
Alabama State University,Montgomery,AL,36104-0271,1,32.3643,-86.2957,0.5125,830,17400,0.6219,15854.5,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,Southern Association of Colleges and Schools Commission on Colleges
The University of Alabama,Tuscaloosa,AL,35487-0166,1,33.2144,-87.5458,0.5655,1171,26717,0.87,17750,28692,0.7865,0.114,0.0313,0.0112,0.0044,0.0011,Southern Association of Colleges and Schools Commission on Colleges
Central Alabama Community College,Alexander City,AL,35010,1,32.9244,-85.9465,NULL,NULL,12103,NULL,7554,1779,0.6785,0.2945,0.0118,0.0022,0.0022,0.0011,Southern Association of Colleges and Schools Commission on Colleges
Athens State University,Athens,AL,35611,1,34.8056,-86.9651,NULL,NULL,NULL,NULL,14000,2999,0.7513,0.1064,0.0213,0.0047,0.019,0.0007,Southern Association of Colleges and Schools Commission on Colleges
Auburn University at Montgomery,Montgomery,AL,36117-3596,1,32.3699,-86.1774,0.8371,970,16556,0.6321,10750,4322,0.5532,0.3031,0.0079,0.0245,0.0037,0,Southern Association of Colleges and Schools Commission on Colleges
Auburn University,Auburn University,AL,36849,1,32.6002,-85.4924,0.8274,1215,23788,0.8946,18250,19761,0.8543,0.0714,0.0253,0.0213,0.0077,0,Southern Association of Colleges and Schools Commission on Colleges
Birmingham Southern College,Birmingham,AL,35254,2,33.5155,-86.8536,0.6422,1177,44512,0.8037,21500,1181,0.8103,0.094,0.0305,0.039,0.0102,0,Southern Association of Colleges and Schools Commission on Colleges
Chattahoochee Valley Community College,Phenix City,AL,36869,1,32.4239,-85.0315,NULL,NULL,6800,NULL,4569,1769,0.4675,0.4409,0.0379,0.0136,0.0034,0.0028,Southern Association of Colleges and Schools Commission on Colleges
Concordia College Alabama,Selma,AL,36701,2,32.4223,-87.0242,NULL,NULL,17655,0.4103,8050,523,0.0115,0.9388,0.0134,0.0038,0,0,Southern Association of Colleges and Schools Commission on Colleges
South University-Montgomery,Montgomery,AL,36116,3,32.3427,-86.2165,0.4366,NULL,28525,0.1935,9500,599,0.2988,0.6628,0.0117,0.0033,0.0083,0.0033,NULL
Enterprise State Community College,Enterprise,AL,36330-1300,1,31.2975,-85.837,NULL,NULL,10193,NULL,6000,1984,0.6411,0.2661,0.0444,0.0166,0.0055,0.0015,Southern Association of Colleges and Schools Commission on Colleges
James H Faulkner State Community College,Bay Minette,AL,36507-2698,1,30.852,-87.7798,NULL,NULL,11921,NULL,5500,4182,0.7104,0.2176,0.0263,0.0072,0.0187,0.0012,Southern Association of Colleges and Schools Commission on Colleges
Faulkner University,Montgomery,AL,36109-3378,2,32.3842,-86.2164,NULL,NULL,28485,0.5,18750,2358,0.3919,0.5254,0.0178,0.0047,0.0064,0.0034,Southern Association of Colleges and Schools Commission on Colleges
Gadsden State Community College,Gadsden,AL,35903,1,33.9919,-85.9913,NULL,NULL,10247,NULL,333,5480,0.6792,0.21,0.0261,0.0055,0.0075,0.0015,Southern Association of Colleges and Schools Commission on Colleges
New Beginning College of Cosmetology,Albertville,AL,35951,3,34.2593,-86.2,NULL,NULL,NULL,NULL,7901,89,0.9326,0.0337,0.0337,0,0,0,National Accrediting Commission of Career Arts and Sciences
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,1,31.3161,-85.4636,NULL,NULL,8140,NULL,PrivacySuppressed,4293,0.6306,0.3196,0.024,0.0058,0.0051,0.0019,Southern Association of Colleges and Schools Commission on Colleges
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,1,34.0734,-86.7817,NULL,NULL,10822,NULL,8250,4904,0.875,0.0593,0.0273,0.0043,0.0075,0.0002,Southern Association of Colleges and Schools Commission on Colleges
George C Wallace State Community College-Selma,Selma,AL,36703-2808,1,32.4456,-87.0132,NULL,NULL,14835,NULL,PrivacySuppressed,1604,0.2163,0.7594,0.0062,0.0069,0.0037,0.0019,Southern Association of Colleges and Schools Commission on Colleges
Herzing University-Birmingham,Birmingham,AL,35209,3,33.4681,-86.8323,0.7234,NULL,26656,0.5,12000,318,0.3491,0.5881,0.0063,0.0094,0,0,NULL
Huntingdon College,Montgomery,AL,36106-2148,2,32.3509,-86.2853,0.6279,999,31433,0.6196,16850,1100,0.5845,0.1918,0.02,0.0091,0.0064,0.0018,Southern Association of Colleges and Schools Commission on Colleges
Heritage Christian University,Florence,AL,35630-9977,2,34.8591,-87.6621,NULL,NULL,21160,1,PrivacySuppressed,67,0.7313,0.1194,0.0448,0,0,0.0149,Association for Biblical Higher Education Commission on Accreditation
J F Drake State Community and Technical College,Huntsville,AL,35811,1,34.7721,-86.5738,NULL,NULL,12217,NULL,PrivacySuppressed,1040,0.3096,0.6231,0.025,0.0048,0.0067,0.0029,Southern Association of Colleges and Schools Commission on Colleges
Jacksonville State University,Jacksonville,AL,36265,1,33.8221,-85.7666,0.8326,1036,19202,0.7112,16500,7195,0.6655,0.2628,0.0133,0.0053,0.0058,0.0006,Southern Association of Colleges and Schools Commission on Colleges
Jefferson Davis Community College,Brewton,AL,36426,1,31.102,-87.0858,NULL,NULL,9149,NULL,2000,1037,0.5853,0.297,0.0116,0.0183,0.0289,0,Southern Association of Colleges and Schools Commission on Colleges
Jefferson State Community College,Birmingham,AL,35215-3098,1,33.6524,-86.7074,NULL,NULL,12943,NULL,5057,7494,0.6894,0.2171,0.0388,0.0169,0.0031,0.0008,Southern Association of Colleges and Schools Commission on Colleges
John C Calhoun State Community College,Tanner,AL,35671,1,34.6543,-86.9491,NULL,NULL,9829,NULL,5500,9970,0.6627,0.1949,0.0396,0.0191,0.0195,0.0008,Southern Association of Colleges and Schools Commission on Colleges
Judson College,Marion,AL,36756,2,32.6305,-87.3161,0.7388,1023,27815,0.5974,14250,331,0.7915,0.145,0.0151,0.0091,0.003,0,Southern Association of Colleges and Schools Commission on Colleges
Lawson State Community College-Birmingham Campus,Birmingham,AL,35221-1717,1,33.4517,-86.8902,NULL,NULL,12602,NULL,PrivacySuppressed,2894,0.1448,0.7557,0.0104,0.0031,0.0014,0.0024,NULL
University of West Alabama,Livingston,AL,35470,1,32.5924,-88.1861,0.9957,950,17959,0.5781,13500,1988,0.4291,0.4195,0.0216,0.0101,0.0035,0.001,Southern Association of Colleges and Schools Commission on Colleges
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,1,31.3229,-86.4523,NULL,NULL,13204,NULL,PrivacySuppressed,1372,0.7259,0.2493,0.0087,0.0058,0.0022,0,Southern Association of Colleges and Schools Commission on Colleges
Marion Military Institute,Marion,AL,36756-3207,1,32.6224,-87.318,0.6034,1040,16520,NULL,5500,411,0.5766,0.2287,0.1022,0.0365,0.0122,0.0049,Southern Association of Colleges and Schools Commission on Colleges
Miles College,Fairfield,AL,35064-2621,2,33.4813,-86.9086,NULL,NULL,21336,0.5476,12908.5,1663,0.018,0.9693,0.0054,0,0,0.0006,Southern Association of Colleges and Schools Commission on Colleges
University of Mobile,Mobile,AL,36613-2842,2,30.7932,-88.1289,0.7125,1058,30108,0.7727,22500,1472,0.6461,0.216,0.0122,0.0095,0.0163,0.0007,Southern Association of Colleges and Schools Commission on Colleges
University of Montevallo,Montevallo,AL,35115-6000,1,33.1063,-86.8651,0.8729,1070,20209,0.7365,15872,2610,0.7368,0.1398,0.023,0.0065,0.0069,0.0011,Southern Association of Colleges and Schools Commission on Colleges
Northwest-Shoals Community College,Muscle Shoals,AL,35661,1,34.7396,-87.6773,NULL,NULL,9111,NULL,5500,3235,0.8195,0.127,0.0343,0.0031,0.0065,0.0009,Southern Association of Colleges and Schools Commission on Colleges
University of North Alabama,Florence,AL,35632-0001,1,34.8066,-87.681,0.8092,1028,15058,0.7079,12542,5536,0.715,0.1384,0.0246,0.0038,0.0112,0.0011,Southern Association of Colleges and Schools Commission on Colleges
Northeast Alabama Community College,Rainsville,AL,35986,1,34.5455,-85.9117,NULL,NULL,7860,NULL,3500,2376,0.8885,0.0181,0.0526,0.0055,0.0295,0,Southern Association of Colleges and Schools Commission on Colleges
Oakwood University,Huntsville,AL,35896,2,34.7566,-86.6616,0.3435,924,34705,0.7876,22000,1854,0.0102,0.8495,0.0237,0.0016,0.0038,0,Southern Association of Colleges and Schools Commission on Colleges
Alabama Southern Community College,Monroeville,AL,36460,1,31.4889,-87.3264,NULL,NULL,10701,NULL,NULL,1218,0.5452,0.4187,0.0074,0.0057,0.0131,0,Southern Association of Colleges and Schools Commission on Colleges
Prince Institute-Southeast,Montgomery,AL,36117,3,32.3831,-86.1622,NULL,NULL,24676,NULL,12667,102,0.6667,0.2745,0.0294,0.0098,0,0,Accrediting Council for Independent Colleges and Schools
Reid State Technical College,Evergreen,AL,36401,1,31.4607,-86.9645,NULL,NULL,9693,NULL,NULL,414,0.471,0.4928,0.0121,0.0024,0.0145,0.0048,Council on Occupational Education
Bishop State Community College,Mobile,AL,36603-5898,1,30.694,-88.057,NULL,NULL,10059,NULL,PrivacySuppressed,3363,0.2551,0.672,0.0152,0.0149,0.0077,0.0015,Southern Association of Colleges and Schools Commission on Colleges
Samford University,Birmingham,AL,35229-2240,2,33.4646,-86.7909,0.7697,1153,38835,0.8673,20000,2995,0.8114,0.0664,0.0664,0.008,0.003,0.0007,Southern Association of Colleges and Schools Commission on Colleges
Selma University,Selma,AL,36701,2,32.4204,-87.0338,NULL,NULL,11187,0.4202,3775,447,0.0336,0.9664,0,0,0,0,Association for Biblical Higher Education Commission on Accreditation
Shelton State Community College,Tuscaloosa,AL,35405-8522,1,33.1205,-87.5615,NULL,NULL,13007,NULL,PrivacySuppressed,4859,0.5526,0.347,0.0047,0.0111,0.0033,0.0004,Southern Association of Colleges and Schools Commission on Colleges
Snead State Community College,Boaz,AL,35957-0734,1,34.2007,-86.1695,NULL,NULL,9622,NULL,3500,2161,0.8242,0.0551,0.0689,0.0079,0.0222,0.0005,Southern Association of Colleges and Schools Commission on Colleges
University of South Alabama,Mobile,AL,36688-0002,1,30.6951,-88.1819,0.8604,1064,17125,0.6787,15000,11048,0.6374,0.229,0.0246,0.0337,0.0088,0.0018,Southern Association of Colleges and Schools Commission on Colleges
Spring Hill College,Mobile,AL,36608-1791,2,30.6948,-88.1382,0.4627,1100,43325,0.7559,20500,1269,0.6643,0.1608,0.0875,0.0071,0.0063,0,Southern Association of Colleges and Schools Commission on Colleges
Southeastern Bible College,Birmingham,AL,35224-2083,2,33.3789,-86.749,0.9615,970,19127,0.6429,19414.5,160,0.625,0.2938,0.0313,0,0.0063,0,Association for Biblical Higher Education Commission on Accreditation
Stillman College,Tuscaloosa,AL,35403,2,33.1992,-87.5852,0.43,882,24744,0.6123,19000,863,0.0626,0.9224,0.0104,0.0023,0,0,Southern Association of Colleges and Schools Commission on Colleges
Talladega College,Talladega,AL,35160,2,33.4343,-86.1137,NULL,NULL,18758,0.3285,19000,894,0.0391,0.8949,0.0257,0.0045,0,0.0056,Southern Association of Colleges and Schools Commission on Colleges
H Councill Trenholm State Technical College,Montgomery,AL,36108-3199,1,32.3501,-86.3431,NULL,NULL,9955,NULL,PrivacySuppressed,1262,0.4263,0.5523,0.0048,0.0095,0.0008,0,Council on Occupational Education | Southern Association of Colleges and Schools Commission on Colleges
Troy University,Troy,AL,36082-0001,1,31.8001,-85.9502,0.6821,990,16877,0.7389,17750,16208,0.4908,0.3672,0.0297,0.0083,0.0081,0.001,Southern Association of Colleges and Schools Commission on Colleges
Tuskegee University,Tuskegee,AL,36088-1920,2,32.431,-85.7103,0.3511,937,32853,0.7242,23687.5,2584,0.0019,0.7752,0.0019,0.0008,0.0004,0,Southern Association of Colleges and Schools Commission on Colleges
United States Sports Academy,Daphne,AL,36526-7055,2,30.6393,-87.9116,NULL,NULL,NULL,NULL,16248,80,0.2125,0.1125,0.0875,0.025,0,0,Southern Association of Colleges and Schools Commission on Colleges
Bevill State Community College,Jasper,AL,35501,1,33.8358,-87.265,NULL,NULL,13443,NULL,NULL,3212,0.8032,0.1541,0.014,0.0044,0.0025,0,Southern Association of Colleges and Schools Commission on Colleges
University of Alaska Anchorage,Anchorage,AK,99508,1,61.1896,-149.8261,NULL,NULL,13180,0.7062,11336.5,13116,0.5759,0.0361,0.0735,0.0722,0.0681,0.0085,Northwest Commission on Colleges and Universities
Alaska Bible College,Palmer,AK,99645,2,62.113,-145.5262,NULL,NULL,13380,0.6,PrivacySuppressed,26,0.8846,0,0.0385,0,0.0385,0,NULL
University of Alaska Fairbanks,Fairbanks,AK,99775-7500,1,64.8571,-147.8248,NULL,NULL,15035,0.7687,11247,5729,0.4486,0.0229,0.0504,0.0133,0.1403,0.0023,Northwest Commission on Colleges and Universities
University of Alaska Southeast,Juneau,AK,99801-8697,1,58.3843,-134.6363,NULL,NULL,16409,0.7158,11750,1488,0.4751,0.0081,0.0551,0.0276,0.1142,0.0155,Northwest Commission on Colleges and Universities
Alaska Pacific University,Anchorage,AK,99508,2,61.1912,-149.8042,0.3745,1008,42925,0.6667,19250,340,0.5441,0.0294,0.0353,0.0176,0.1706,0.0059,Northwest Commission on Colleges and Universities
AVTEC-Alaska's Institute of Technology,Seward,AK,99664-0889,1,60.1107,-149.4446,0.4888,NULL,NULL,NULL,5500,1347,0.5702,0.0171,0.0364,0.0082,0.1715,0.0052,Council on Occupational Education
Charter College-Anchorage,Anchorage,AK,99508,3,61.1958,-149.8402,NULL,NULL,21163,0.4333,9500,2191,0.429,0.0374,0.3241,0.0196,0.042,0.0602,Accrediting Council for Independent Colleges and Schools
Prince William Sound Community College,Valdez,AK,99686-0097,1,61.1224,-146.178,NULL,NULL,12434,NULL,11336.5,134,0.3657,0,0.0672,0,0.0597,0,Northwest Commission on Colleges and Universities
Alaska Career College,Anchorage,AK,99507-1033,3,61.1814,-149.857,NULL,NULL,NULL,NULL,8407,335,0.4,0.1164,0.0806,0.1493,0.1851,0.009,Accrediting Commission of Career Schools and Colleges
Everest College-Phoenix,Phoenix,AZ,85021-1641,3,33.581,-112.1138,NULL,NULL,25089,NULL,6338.5,2761,0.389,0.3158,0.1268,0.0058,0.0283,0.0076,North Central Association of Colleges and Schools The Higher Learning Commission
Collins College,Phoenix,AZ,85040,3,33.4033,-111.9865,NULL,NULL,NULL,NULL,28354,254,0.3465,0.0827,0.1614,0.0079,0.0276,0.0118,NULL
Empire Beauty School-Paradise Valley,Phoenix,AZ,85032,3,33.6026,-111.9764,NULL,NULL,NULL,NULL,7392,43,0.6047,0.0698,0.1628,0,0.0465,0.0465,NULL
Empire Beauty School-Tucson,Tucson,AZ,85716,3,32.2357,-110.9272,NULL,NULL,NULL,NULL,5781,175,0.2343,0.1029,0.5657,0.0114,0.0629,0,NULL
Thunderbird School of Global Management,Glendale,AZ,85306-6000,2,33.6209,-112.1809,NULL,NULL,NULL,NULL,6280,2,1,0,0,0,0,0,North Central Association of Colleges and Schools The Higher Learning Commission
American Indian College of the Assemblies of God Inc,Phoenix,AZ,85021,2,33.5777,-112.0922,NULL,NULL,20601,0.6667,16750,77,0.0649,0.1169,0.1948,0,0.5584,0.0649,North Central Association of Colleges and Schools The Higher Learning Commission
American Institute of Technology,Phoenix,AZ,85043-4729,3,33.4423,-112.1753,NULL,NULL,NULL,NULL,6069,278,0.5144,0.241,0.1331,0.0144,0.0072,0.0216,Accrediting Commission of Career Schools and Colleges
Carrington College-Phoenix,Phoenix,AZ,85051-4063,3,33.5608,-112.1155,1,NULL,NULL,NULL,9475,676,0.2618,0.0784,0.5429,0.0044,0.0799,0.0059,Accrediting Bureau of Health Education Schools | Accrediting Council for Independent Colleges and Schools
Carrington College-Mesa,Mesa,AZ,85210,3,33.393,-111.8553,1,NULL,NULL,NULL,9475,691,0.4486,0.0463,0.3343,0.026,0.1172,0.0072,NULL
Carrington College-Tucson,Tucson,AZ,85705-5885,3,32.2709,-110.978,1,NULL,NULL,NULL,9475,440,0.2614,0.0364,0.6136,0.0023,0.0477,0.0045,NULL
College America-Flagstaff,Flagstaff,AZ,86004,2,35.2112,-111.6048,NULL,NULL,26842,0.6522,17636,209,0.2727,0.0144,0.1053,0,0.6029,0,Accrediting Commission of Career Schools and Colleges
Arizona Academy of Beauty-East,Tucson,AZ,85712,3,32.2373,-110.8723,NULL,NULL,NULL,NULL,5491.5,47,0.383,0.0213,0.4894,0.0213,0.0213,0,National Accrediting Commission of Career Arts and Sciences
Arizona Automotive Institute,Glendale,AZ,85301-3579,3,33.5372,-112.1573,NULL,NULL,NULL,NULL,9500,505,0.3723,0.1129,0.3149,0.0079,0.1505,0.002,Accrediting Commission of Career Schools and Colleges
Brookline College-Phoenix,Phoenix,AZ,85021,3,33.5254,-112.1501,NULL,NULL,NULL,0.4471,9500,828,0.3249,0.2077,0.2512,0.0193,0.0797,0.0048,Accrediting Council for Independent Colleges and Schools
Arizona State University-Tempe,Tempe,AZ,85287,1,33.4219,-111.94,0.8023,1108,21960,0.844,16250,38480,0.5755,0.0398,0.1853,0.0677,0.0136,0.0025,North Central Association of Colleges and Schools The Higher Learning Commission
Arizona Western College,Yuma,AZ,85365-8834,1,32.6893,-114.496,NULL,NULL,14337,NULL,4750,7442,0.1892,0.0325,0.6517,0.0106,0.0114,0.0035,North Central Association of Colleges and Schools The Higher Learning Commission
University of Arizona,Tucson,AZ,85721-0066,1,32.2321,-110.9508,0.7692,1106,23905,0.8148,13500,31399,0.5464,0.0333,0.2444,0.0561,0.0106,0.0021,North Central Association of Colleges and Schools The Higher Learning Commission
Southwest University of Visual Arts-Tucson,Tucson,AZ,85716,3,32.2524,-110.9273,NULL,NULL,49519,0.8462,20000,216,0.5324,0.0648,0.287,0.0093,0.0509,0,North Central Association of Colleges and Schools The Higher Learning Commission
Brillare Hairdressing Academy,Scottsdale,AZ,85254,3,33.624,-111.9255,NULL,NULL,NULL,NULL,7613,226,0.6637,0.0531,0.1858,0.0044,0.0133,0.0133,National Accrediting Commission of Career Arts and Sciences
Central Arizona College,Coolidge,AZ,85128-9030,1,32.9571,-111.6525,NULL,NULL,9205,NULL,5584,5462,0.4713,0.0751,0.2697,0.0157,0.048,0.0048,North Central Association of Colleges and Schools The Higher Learning Commission
Brown Mackie College-Tucson,Tucson,AZ,85712,3,32.2367,-110.8951,NULL,NULL,24344,0,12136.5,684,0.3596,0.1228,0.4137,0.0175,0.0658,0.0029,NULL
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,3,34.4753,-114.3281,NULL,NULL,NULL,NULL,6514,83,0.7952,0.0843,0.1205,0,0,0,National Accrediting Commission of Career Arts and Sciences
Cochise College,Douglas,AZ,85607-6190,1,31.3658,-109.6904,NULL,NULL,9792,NULL,4500,3787,0.4212,0.0562,0.4423,0.0172,0.0074,0.0063,North Central Association of Colleges and Schools The Higher Learning Commission
Empire Beauty School-Flagstaff,Flagstaff,AZ,86004,3,35.1972,-111.6259,NULL,NULL,NULL,NULL,6392.5,53,0.4906,0,0.1698,0,0.1698,0,NULL
Empire Beauty School-Chandler,Chandler,AZ,85224,3,33.3476,-111.8604,NULL,NULL,NULL,NULL,6392.5,113,0.3009,0.2655,0.3009,0.0088,0.0885,0,NULL
Cortiva Institute-Tucson,Tucson,AZ,85710,3,32.219,-110.8568,NULL,NULL,NULL,NULL,6333,143,0.5664,0.049,0.3427,0.021,0,0.007,Accrediting Commission of Career Schools and Colleges
Avalon School of Cosmetology-Mesa,Mesa,AZ,85210,3,33.3766,-111.8583,NULL,NULL,NULL,NULL,10423.5,273,0.5238,0.1062,0.2784,0.0073,0.0183,0.0183,National Accrediting Commission of Career Arts and Sciences
Eastern Arizona College,Thatcher,AZ,85552-0769,1,32.8407,-109.7617,NULL,NULL,11649,NULL,PrivacySuppressed,4812,0.6025,0.0426,0.1989,0.0114,0.0829,0.0042,North Central Association of Colleges and Schools The Higher Learning Commission
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,2,34.6157,-112.4523,0.7898,1126,45228,0.828,16500,1802,0.6016,0.0172,0.0755,0.0494,0.0055,0.0061,NULL
Frank Lloyd Wright School of Architecture,Scottsdale,AZ,85261-4430,2,33.6072,-111.8465,NULL,NULL,NULL,NULL,PrivacySuppressed,2,0.5,0,0,0,0,0,North Central Association of Colleges and Schools The Higher Learning Commission
Glendale Community College,Glendale,AZ,85302,1,33.5675,-112.1883,NULL,NULL,12043,NULL,4474,16623,0.4524,0.0771,0.3214,0.0413,0.0179,0.0034,North Central Association of Colleges and Schools The Higher Learning Commission
Grand Canyon University,Phoenix,AZ,85017,3,33.5122,-112.1299,0.548,NULL,31613,0.5878,11644,34643,0.4427,0.2075,0.1452,0.0437,0.009,0.0046,North Central Association of Colleges and Schools The Higher Learning Commission
Anthem College-Phoenix,Phoenix,AZ,85014,3,33.4943,-112.0502,NULL,NULL,32523,0.875,9934,2238,0.4303,0.269,0.1649,0.0125,0.0478,0.0004,Accrediting Council for Independent Colleges and Schools
International Academy of Hair Design,Mesa,AZ,85202-4887,3,33.393,-111.8627,NULL,NULL,NULL,NULL,8666.5,210,0.3667,0.1571,0.3857,0.0095,0.0286,0.0048,National Accrediting Commission of Career Arts and Sciences
Kaplan College-Phoenix,Phoenix,AZ,85029,3,33.6082,-112.1189,NULL,NULL,NULL,NULL,9500,93,0.5376,0.0215,0.3656,0.0108,0.043,0,Accrediting Commission of Career Schools and Colleges
GateWay Community College,Phoenix,AZ,85034,1,33.4495,-111.9965,NULL,NULL,12673,NULL,7000,5653,0.3807,0.1206,0.3004,0.0343,0.0463,0.0016,North Central Association of Colleges and Schools The Higher Learning Commission
Mesa Community College,Mesa,AZ,85202,1,33.3913,-111.8715,NULL,NULL,12744,NULL,5065,20120,0.5103,0.0702,0.2252,0.0395,0.0394,0.0045,North Central Association of Colleges and Schools The Higher Learning Commission
ITT Technical Institute-Tucson,Tucson,AZ,85704-5829,3,32.2973,-110.9975,0.9703,NULL,26194,NULL,14656.5,409,0.4034,0.0538,0.3716,0.0171,0.0733,0.0049,NULL
ITT Technical Institute-Tempe,Tempe,AZ,85282,3,33.3804,-111.9692,0.9796,NULL,26194,0,14656.5,498,0.4518,0.1044,0.2309,0.0281,0.1305,0,NULL
Mohave Community College,Kingman,AZ,86409-1238,1,35.2707,-114.0302,NULL,NULL,15718,NULL,8910,4759,0.7375,0.0116,0.1769,0.0137,0.0212,0.0069,North Central Association of Colleges and Schools The Higher Learning Commission
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,85027,3,33.6844,-112.1213,NULL,NULL,NULL,NULL,16035,2049,0.7213,0.0351,0.0918,0.0024,0.0288,0.0073,Accrediting Commission of Career Schools and Colleges
Dine College,Tsaile,AZ,86556,1,36.3276,-109.2947,NULL,NULL,11396,0.8,NULL,1402,0.0036,0,0.0007,0.0029,0.9929,0,North Central Association of Colleges and Schools The Higher Learning Commission
Northern Arizona University,Flagstaff,AZ,86011-4132,1,35.1801,-111.6577,0.9137,1050,22771,0.7178,15000,22011,0.628,0.0325,0.1925,0.016,0.031,0.0034,North Central Association of Colleges and Schools The Higher Learning Commission
Northland Pioneer College,Holbrook,AZ,86025-0610,1,34.9222,-110.1316,NULL,NULL,13342,NULL,NULL,1641,0.468,0.0055,0.0713,0.0085,0.3943,0.0018,North Central Association of Colleges and Schools The Higher Learning Commission
Ottawa University-Phoenix,Phoenix,AZ,85021,2,33.5779,-112.1134,NULL,1020,NULL,NULL,17000,335,0.3881,0.0955,0.1373,0.009,0.0209,0,NULL
Phoenix College,Phoenix,AZ,85013,1,33.4814,-112.0883,NULL,NULL,12521,NULL,6750,10234,0.2753,0.1256,0.4205,0.0341,0.0298,0.0019,North Central Association of Colleges and Schools The Higher Learning Commission
Cortiva Institute-Scottsdale,Scottsdale,AZ,85257,3,33.4666,-111.9084,NULL,NULL,NULL,NULL,7917,87,0.5977,0.046,0.1494,0.0115,0.0345,0,Accrediting Council for Continuing Education and Training
University of Phoenix-Phoenix Campus,Tempe,AZ,85282-2371,3,33.4123,-111.9802,NULL,NULL,24167,0.4605,18532,3044,0.3292,0.0818,0.1961,0.0112,0.0115,0.0072,North Central Association of Colleges and Schools The Higher Learning Commission
Pima Community College,Tucson,AZ,85709-1275,1,32.2268,-110.9852,NULL,NULL,7367,NULL,5698,26600,0.4269,0.0468,0.4159,0.0291,0.0239,0.0032,North Central Association of Colleges and Schools The Higher Learning Commission
Pima Medical Institute-Tucson,Tucson,AZ,85716,3,32.2504,-110.9213,NULL,NULL,NULL,0.8056,8708,1726,0.4334,0.0603,0.3917,0.0429,0.0139,0.0064,Accrediting Bureau of Health Education Schools
Pima Medical Institute-Albuquerque,Albuquerque,NM,87110,3,35.1055,-106.5947,NULL,NULL,NULL,NULL,8708,930,0.2398,0.0204,0.5161,0.0129,0.143,0,NULL
Prescott College,Prescott,AZ,86301,2,34.5445,-112.4765,0.7293,1094,40206,0.7344,19874.5,540,0.7296,0.0148,0.0574,0.0111,0.0204,0,North Central Association of Colleges and Schools The Higher Learning Commission
Refrigeration School Inc,Phoenix,AZ,85034-1816,3,33.4487,-111.9894,NULL,NULL,NULL,NULL,11830.5,621,0.4267,0.0741,0.2512,0.0097,0.0596,0.0048,Accrediting Commission of Career Schools and Colleges
Rio Salado College,Tempe,AZ,85281,1,33.4131,-111.9752,NULL,NULL,11811,NULL,4750,10217,0.5498,0.1313,0.1929,0.0207,0.0174,0.0016,North Central Association of Colleges and Schools The Higher Learning Commission
Roberto-Venn School of Luthiery,Phoenix,AZ,85007,3,33.4547,-112.0864,NULL,NULL,NULL,NULL,7307,39,0.8462,0,0.0769,0.0256,0,0.0513,Accrediting Commission of Career Schools and Colleges
Hair Academy of Safford,Safford,AZ,85546,3,32.8353,-109.7277,NULL,NULL,NULL,NULL,PrivacySuppressed,64,0.5469,0.0313,0.3438,0.0313,0.0313,0,National Accrediting Commission of Career Arts and Sciences
Scottsdale Community College,Scottsdale,AZ,85256,1,33.5095,-111.8873,NULL,NULL,12970,NULL,4500,7687,0.607,0.0485,0.1578,0.0265,0.0489,0.0036,North Central Association of Colleges and Schools The Higher Learning Commission
South Mountain Community College,Phoenix,AZ,85042,1,33.381,-112.0575,NULL,NULL,12343,NULL,4927,3980,0.1279,0.2015,0.4462,0.0259,0.0606,0.0013,North Central Association of Colleges and Schools The Higher Learning Commission
Arizona Christian University,Phoenix,AZ,85032-7097,2,33.5951,-112.0262,0.6076,1045,34444,0.6809,13136.5,491,0.5906,0.0509,0.1426,0.0143,0.0081,0.002,North Central Association of Colleges and Schools The Higher Learning Commission
Tucson College,Tucson,AZ,85711,3,32.2218,-110.8835,NULL,NULL,NULL,NULL,9499,284,0.331,0.0493,0.4965,0.0211,0.0493,0.0317,Accrediting Council for Independent Colleges and Schools
